"filename", "language", "JSON with Comments", "JSON", "XML", "TypeScript JSX", "TypeScript", "Markdown", "JavaScript", "CSS", "Prisma", "MS SQL", "comment", "blank", "total"
"/Users/ammaryasser/Desktop/hagz/.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/ammaryasser/Desktop/hagz/README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/layout.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/reservation/[id]/modify/page.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/reservation/[id]/view/page.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/reservation/add/page.tsx", "TypeScript JSX", 0, 0, 0, 390, 0, 0, 0, 0, 0, 0, 14, 43, 447
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/reservations/done/page.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/reservations/layout.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/reservations/page.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/reservations/scheduled/page.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/sales/billing/page.tsx", "TypeScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 3, 98
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/sales/page.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 2, 44
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/sales/pricing/page.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 14, 133
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/settings/details/page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/settings/notifications/page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/ammaryasser/Desktop/hagz/app/(owner)/dashboard/settings/security/page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/ammaryasser/Desktop/hagz/app/(user)/details/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 3, 75
"/Users/ammaryasser/Desktop/hagz/app/(user)/layout.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/ammaryasser/Desktop/hagz/app/api/auth/owner/refresh/route.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 10, 38
"/Users/ammaryasser/Desktop/hagz/app/api/auth/owner/register/route.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/ammaryasser/Desktop/hagz/app/api/auth/owner/sign-in/route.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/ammaryasser/Desktop/hagz/app/api/auth/owner/sign-out/route.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/ammaryasser/Desktop/hagz/app/api/auth/owner/verify/route.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 10, 41
"/Users/ammaryasser/Desktop/hagz/app/api/owner/options/route.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/ammaryasser/Desktop/hagz/app/api/owner/reservation/add/route.ts", "TypeScript", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 14, 112
"/Users/ammaryasser/Desktop/hagz/app/api/owner/reservation/route.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/ammaryasser/Desktop/hagz/app/api/owner/reservations/route.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 15, 72
"/Users/ammaryasser/Desktop/hagz/app/api/pitch/create/route.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/ammaryasser/Desktop/hagz/app/auth/owner/sign-in/page.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 15, 21, 141
"/Users/ammaryasser/Desktop/hagz/app/auth/owner/sign-out/page.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 9, 48
"/Users/ammaryasser/Desktop/hagz/app/auth/owner/sign-up/layout.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/ammaryasser/Desktop/hagz/app/auth/owner/sign-up/page.tsx", "TypeScript JSX", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 32, 242
"/Users/ammaryasser/Desktop/hagz/app/auth/user/sign-in/page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/ammaryasser/Desktop/hagz/app/auth/user/sign-up/page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/ammaryasser/Desktop/hagz/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 15, 89
"/Users/ammaryasser/Desktop/hagz/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/ammaryasser/Desktop/hagz/app/page.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/ammaryasser/Desktop/hagz/aws/ses/verification.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/ammaryasser/Desktop/hagz/components/Amenities.tsx", "TypeScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 5, 97
"/Users/ammaryasser/Desktop/hagz/components/Gallery.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"/Users/ammaryasser/Desktop/hagz/components/Navigation.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/ammaryasser/Desktop/hagz/components/Reserve.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 3, 48
"/Users/ammaryasser/Desktop/hagz/components/auth/AdvancedForm.tsx", "TypeScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 5, 103
"/Users/ammaryasser/Desktop/hagz/components/auth/BasicsForm.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 6, 105
"/Users/ammaryasser/Desktop/hagz/components/auth/BillingForm.tsx", "TypeScript JSX", 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 16, 268
"/Users/ammaryasser/Desktop/hagz/components/auth/CodeInput.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 15, 137
"/Users/ammaryasser/Desktop/hagz/components/auth/ContinuedForm.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/ammaryasser/Desktop/hagz/components/auth/FinalizeForm.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/ammaryasser/Desktop/hagz/components/auth/FormWrapper.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 3, 47
"/Users/ammaryasser/Desktop/hagz/components/auth/Indicator.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/ammaryasser/Desktop/hagz/components/auth/PitchForm.tsx", "TypeScript JSX", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 9, 184
"/Users/ammaryasser/Desktop/hagz/components/auth/SecurityForm.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 5, 71
"/Users/ammaryasser/Desktop/hagz/components/auth/VerifyForm.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 10, 87
"/Users/ammaryasser/Desktop/hagz/components/dashboard/Card.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 4, 57
"/Users/ammaryasser/Desktop/hagz/components/dashboard/DailyView.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 4, 8, 108
"/Users/ammaryasser/Desktop/hagz/components/dashboard/LabelCard.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"/Users/ammaryasser/Desktop/hagz/components/dashboard/MonthlyBar.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 9, 83
"/Users/ammaryasser/Desktop/hagz/components/dashboard/MonthlyView.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 5, 5, 98
"/Users/ammaryasser/Desktop/hagz/components/dashboard/Profile.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/ammaryasser/Desktop/hagz/components/dashboard/ProgressCard.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/ammaryasser/Desktop/hagz/components/dashboard/ReservationTable.tsx", "TypeScript JSX", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 15, 181
"/Users/ammaryasser/Desktop/hagz/components/dashboard/SchemaCard.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 3, 80
"/Users/ammaryasser/Desktop/hagz/components/dashboard/Selector.tsx", "TypeScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 7, 102
"/Users/ammaryasser/Desktop/hagz/components/dashboard/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 7, 135
"/Users/ammaryasser/Desktop/hagz/components/dashboard/UtilityBar.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 8, 87
"/Users/ammaryasser/Desktop/hagz/components/ui/Amenities.tsx", "TypeScript JSX", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 12, 135
"/Users/ammaryasser/Desktop/hagz/components/ui/Breadcrumbs.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/ammaryasser/Desktop/hagz/components/ui/Button.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/ammaryasser/Desktop/hagz/components/ui/Card.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 4, 35
"/Users/ammaryasser/Desktop/hagz/components/ui/Copyright.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/ammaryasser/Desktop/hagz/components/ui/Loading.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/ammaryasser/Desktop/hagz/components/ui/Location.tsx", "TypeScript JSX", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 16, 194
"/Users/ammaryasser/Desktop/hagz/components/ui/NavLink.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/ammaryasser/Desktop/hagz/components/ui/Pulse.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"/Users/ammaryasser/Desktop/hagz/components/ui/Switch.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/ammaryasser/Desktop/hagz/components/ui/Table.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/ammaryasser/Desktop/hagz/components/ui/Upload.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 6, 62
"/Users/ammaryasser/Desktop/hagz/components/ui/ViewSwitch.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 7, 66
"/Users/ammaryasser/Desktop/hagz/context/useAuthContext.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 19, 104
"/Users/ammaryasser/Desktop/hagz/context/useDashboardContext.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 16, 87
"/Users/ammaryasser/Desktop/hagz/context/useOwnerFormContext.tsx", "TypeScript JSX", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 27, 192
"/Users/ammaryasser/Desktop/hagz/context/usePitchFormContext.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 8, 66
"/Users/ammaryasser/Desktop/hagz/context/useReservationContext.tsx", "TypeScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 26, 132
"/Users/ammaryasser/Desktop/hagz/hooks/usePrevious.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/ammaryasser/Desktop/hagz/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 2, 15
"/Users/ammaryasser/Desktop/hagz/package-lock.json", "JSON", 0, 5956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5957
"/Users/ammaryasser/Desktop/hagz/package.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/ammaryasser/Desktop/hagz/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241103071845_init/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 16, 20, 99
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241103085201_owner/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 4, 20
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241123103503_ver_token/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241123103716_ver_id/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 1, 10
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241126080630_tokens/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 4, 19
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241130182643_reservation_range/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 2, 17
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241130185322_payment_total/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241130190149_payment_total_2/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241130190333_payment_total_nodefault/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241201073328_reservation_lock/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241201090146_reservation_is_locked/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 1, 10
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241206112719_reservation_v2/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241207122733_reservation_v3/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 3, 21
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241210093525_reservation_overlap/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"/Users/ammaryasser/Desktop/hagz/prisma/migrations/20241210093928_reservation_unique/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 6
"/Users/ammaryasser/Desktop/hagz/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 13, 18, 168
"/Users/ammaryasser/Desktop/hagz/public/next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/ammaryasser/Desktop/hagz/public/vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/ammaryasser/Desktop/hagz/tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"/Users/ammaryasser/Desktop/hagz/tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/ammaryasser/Desktop/hagz/utils/auth/owner.ts", "TypeScript", 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 31, 243
"/Users/ammaryasser/Desktop/hagz/utils/auth/verify.ts", "TypeScript", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 32, 24, 160
"/Users/ammaryasser/Desktop/hagz/utils/color.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/ammaryasser/Desktop/hagz/utils/currency.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ammaryasser/Desktop/hagz/utils/date.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 6, 31, 134
"/Users/ammaryasser/Desktop/hagz/utils/db.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 5, 43
"/Users/ammaryasser/Desktop/hagz/utils/hash.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/ammaryasser/Desktop/hagz/utils/pitch/create.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 14, 119
"/Users/ammaryasser/Desktop/hagz/utils/reservations/reservation.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 12, 72
"/Users/ammaryasser/Desktop/hagz/utils/types/location.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/ammaryasser/Desktop/hagz/utils/types/owner.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/ammaryasser/Desktop/hagz/utils/types/payment.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 19, 9, 62
"/Users/ammaryasser/Desktop/hagz/utils/types/pitch.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/ammaryasser/Desktop/hagz/utils/types/reservation.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/ammaryasser/Desktop/hagz/utils/types/tokens.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/ammaryasser/Desktop/hagz/utils/types/user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 29, 6005, 2, 4707, 1139, 23, 17, 74, 137, 106, 198, 827, 13264